30	1	 	51	1	 	72	1.953
30	1	 	51	1.297	 	72	1.953
31	1.016	 	52	1.316	 	73	2.004
32	1.031	 	53	1.338	 	74	2.06
33	1.046	 	54	1.361	 	75	2.117
34	1.059	 	55	1.385	 	76	2.181
35	1.072	 	56	1.411	 	77	2.255
36	1.083	 	57	1.437	 	78	2.336
37	1.096	 	58	1.462	 	79	2.419
38	1.109	 	59	1.488	 	80	2.504
39	1.122	 	60	1.514	 	81	2.597
40	1.135	 	61	1.541	 	82	2.702
41	1.149	 	62	1.568	 	83	2.831
42	1.162	 	63	1.598	 	84	2.981
43	1.176	 	64	1.629	 	85	3.153
44	1.189	 	65	1.663	 	86	3.352
45	1.203	 	66	1.699	 	87	3.58
46	1.218	 	67	1.738	 	88	3.843
47	1.233	 	68	1.779	 	89	4.145
48	1.248	 	69	1.823	 	90	4.493
49	1.263	 	70	1.867	 	91	1
50	1.279	 	71	1.91	 	92	1
